金额,商品,支付时间,地点,商品大类,商品二级类
2.5,30g无穷农场盐_鸡蛋,2017/5/8 07:56,E,非饮料,肉干/豆制品/蛋
4.5,250ml燕塘红枣牛奶,2017/5/8 07:57,D,饮料,乳制品
6.5,430g泰奇八宝粥,2017/5/8 08:26,A,非饮料,方便速食
3.0,250ml维他原味豆奶,2017/5/8 09:33,E,饮料,植物蛋白
3.2,20g咪咪虾条马来西亚风味,2017/5/8 09:34,E,非饮料,膨化食品
3.0,统一冰红茶,2017/5/8 09:36,C,饮料,茶饮料
2.0,康师傅矿泉水,2017/5/8 09:36,E,饮料,水
4.0,150g健能酸奶原味,2017/5/8 09:37,D,饮料,乳制品
4.5,78g卫龙亲语,2017/5/8 09:52,D,非饮料,肉干/豆制品/蛋
4.5,250ml燕塘原味酸奶,2017/5/8 10:03,C,饮料,乳制品
9.0,50g马赛克手撕鱿鱼条,2017/5/8 11:43,C,非饮料,海味零食
4.0,营养快线,2017/5/8 11:43,C,饮料,乳制品
3.5,东鹏特饮,2017/5/8 11:44,D,饮料,功能饮料
2.0,康师傅矿泉水,2017/5/8 11:44,E,饮料,水
1.5,卫龙亲嘴烧红烧牛肉味,2017/5/8 12:05,E,非饮料,肉干/豆制品/蛋
4.5,65g卫龙亲嘴豆皮,2017/5/8 12:06,C,非饮料,肉干/豆制品/蛋
3.0,卫龙大面筋,2017/5/8 12:07,A,非饮料,肉干/豆制品/蛋
6.0,红牛,2017/5/8 12:07,C,饮料,功能饮料
2.8,旺仔牛奶,2017/5/8 12:07,C,饮料,乳制品
18.0,260g马来西亚进口茱蒂丝口口香饼干,2017/5/8 12:16,C,非饮料,饼干糕点
1.8,32g卫龙亲嘴烧红烧牛肉味,2017/5/8 12:17,A,非饮料,肉干/豆制品/蛋
2.0,双汇玉米热狗肠,2017/5/8 12:24,E,非饮料,肉干/豆制品/蛋
3.0,250ml维他柠檬茶,2017/5/8 12:26,E,饮料,茶饮料
3.0,12g劲仔小鱼卤香味,2017/5/8 12:46,D,非饮料,肉干/豆制品/蛋
4.0,75g新麦潮天然酵母面包（北海道牛奶风味）,2017/5/8 12:58,E,非饮料,饼干糕点
4.5,600ml脉动青柠,2017/5/8 13:19,C,饮料,功能饮料
1.6,20g咪咪虾条马来西亚风味,2017/5/8 13:26,A,非饮料,膨化食品
8.0,80g四洲粟一烧烧烤味,2017/5/8 13:32,C,非饮料,膨化食品
4.0,85g新麦潮北海道吐司,2017/5/8 13:36,A,非饮料,饼干糕点
3.5,34g公仔迷你杯风味排骨味,2017/5/8 13:50,C,非饮料,方便速食
6.5,250ml红牛,2017/5/8 13:53,D,饮料,功能饮料
3.5,东鹏特饮,2017/5/8 14:16,D,饮料,功能饮料
6.0,拿铁咖啡（统一）,2017/5/8 14:16,E,饮料,咖啡
2.0,5片装益达绿箭口香糖,2017/5/8 15:31,A,非饮料,糖果/巧克力
4.5,85g嘉士利果乐果香夹心饼干蓝莓味,2017/5/8 16:40,C,非饮料,饼干糕点
4.0,250ml维他椰子植物蛋白饮料9374,2017/5/8 17:56,E,饮料,植物蛋白
3.0,40g双汇玉米热狗肠,2017/5/8 17:58,A,非饮料,肉干/豆制品/蛋
3.0,12g劲仔小鱼麻辣味,2017/5/8 19:08,A,非饮料,肉干/豆制品/蛋
6.5,100g果王咸柑桔罐装,2017/5/8 19:40,B,非饮料,蜜饯/果干
4.5,40g乐事薯片墨西哥鸡汁番茄味,2017/5/8 19:58,C,非饮料,膨化食品
3.5,维他原味豆奶,2017/5/8 20:34,D,饮料,植物蛋白
4.5,250ml燕塘原味酸奶,2017/5/8 20:36,D,饮料,乳制品
1.8,32g卫龙亲嘴烧,2017/5/8 20:37,D,非饮料,肉干/豆制品/蛋
4.5,55g奥利奥原味芝士饼干,2017/5/8 20:38,A,非饮料,饼干糕点
12.5,100g*5瓶益力多,2017/5/8 20:51,E,饮料,乳制品
2.5,250ml王老吉盒装,2017/5/8 21:57,A,饮料,茶饮料
6.0,86g合味道海鲜风味,2017/5/8 21:58,A,非饮料,方便速食
4.5,250ml燕塘甜牛奶,2017/5/8 22:06,A,饮料,乳制品
6.5,430g泰奇八宝粥,2017/5/8 22:48,B,非饮料,方便速食
2.5,145ml旺仔牛奶盒装,2017/5/8 22:50,B,饮料,乳制品
1.5,45g双汇泡面拍挡,2017/5/8 23:03,E,非饮料,肉干/豆制品/蛋
2.0,双汇玉米热狗肠,2017/5/8 23:06,E,非饮料,肉干/豆制品/蛋
5.0,500ml统一阿萨姆奶茶,2017/5/8 23:11,B,饮料,茶饮料
5.0,500ml统一阿萨姆奶茶,2017/5/8 23:42,D,饮料,茶饮料
3.6,32g卫龙亲嘴烧,2017/5/8 23:53,C,非饮料,肉干/豆制品/蛋
1.5,40g双汇玉米热狗肠,2017/5/8 23:54,D,非饮料,肉干/豆制品/蛋
1.5,40g双汇玉米热狗肠,2017/5/8 23:55,C,非饮料,肉干/豆制品/蛋
2.5,30g无穷农场盐_鸡蛋,2017/5/9 00:03,A,非饮料,肉干/豆制品/蛋
4.0,阿萨姆奶茶,2017/5/9 00:03,A,饮料,茶饮料
6.0,红牛,2017/5/9 00:03,E,饮料,功能饮料
5.0,220g宝丰龙龟苓膏,2017/5/9 00:04,D,非饮料,果冻/龟苓膏
3.0,250ml维他柠檬茶,2017/5/9 00:06,D,饮料,茶饮料
4.5,40g上好佳田园薯片番茄味,2017/5/9 00:08,A,非饮料,膨化食品
11.8,37.5g费列罗榛果威化巧克力3颗,2017/5/9 00:25,A,非饮料,糖果/巧克力
5.5,205g伊利安慕希原味,2017/5/9 02:01,B,饮料,乳制品
3.0,12g劲仔小鱼麻辣味,2017/5/9 02:35,C,非饮料,肉干/豆制品/蛋
9.0,50g马赛克手撕鱿鱼条,2017/5/9 02:40,B,非饮料,海味零食
3.0,统一绿茶,2017/5/9 02:40,B,饮料,茶饮料
3.0,雪碧（500ml）,2017/5/9 02:42,A,饮料,碳酸饮料
3.5,王老吉（罐）,2017/5/9 02:42,B,饮料,茶饮料
4.8,诗竹竹纤维面巾纸,2017/5/9 02:43,C,非饮料,纸巾
3.0,旺仔牛奶145ml,2017/5/9 02:44,E,饮料,乳制品
2.5,145ml旺仔牛奶盒装,2017/5/9 02:45,D,饮料,乳制品
1.5,香豆干,2017/5/9 02:46,B,非饮料,肉干/豆制品/蛋
3.0,可口可乐（500ml）,2017/5/9 02:46,D,饮料,碳酸饮料
6.5,70g乐事薯片黄瓜味,2017/5/9 07:42,E,非饮料,膨化食品
2.5,145ml旺仔牛奶盒装,2017/5/9 07:43,E,饮料,乳制品
3.5,芬达330ml,2017/5/9 07:43,E,饮料,碳酸饮料
5.5,268ml雀巢咖啡丝滑拿铁,2017/5/9 07:44,B,饮料,咖啡
4.5,40g乐事薯片黄瓜味,2017/5/9 07:51,A,非饮料,膨化食品
3.0,13g无穷烤鸡小腿蜂蜜味,2017/5/9 08:25,E,非饮料,肉干/豆制品/蛋
3.5,王老吉（罐）,2017/5/9 08:26,D,饮料,茶饮料
1.5,小鱼仔,2017/5/9 08:26,E,非饮料,海味零食
3.0,250ml维他柠檬茶,2017/5/9 08:29,A,饮料,茶饮料
4.8,诗竹竹纤维面巾纸,2017/5/9 08:37,B,非饮料,纸巾
4.0,王老吉（500ml）,2017/5/9 09:30,B,饮料,茶饮料
4.0,阿萨姆奶茶,2017/5/9 09:30,D,饮料,茶饮料
2.5,30g无穷农场盐_鸡蛋,2017/5/9 09:31,C,非饮料,肉干/豆制品/蛋
5.0,500ml统一阿萨姆奶茶,2017/5/9 09:32,C,饮料,茶饮料
4.0,奥利奥原味芝士,2017/5/9 09:41,C,非饮料,饼干糕点
6.5,100g果王咸柑桔罐装,2017/5/9 10:07,D,非饮料,蜜饯/果干
5.0,85g新麦潮北海道吐司,2017/5/9 10:12,E,非饮料,饼干糕点
4.5,180ml雀巢咖啡罐装,2017/5/9 10:13,B,饮料,咖啡
5.5,85g统一老坛酸菜牛肉面,2017/5/9 10:14,A,非饮料,方便速食
6.0,86g合味道海鲜风味,2017/5/9 10:47,A,非饮料,方便速食
4.5,500ml农夫果园 (芒果+菠萝+番石榴),2017/5/9 11:48,C,饮料,果蔬饮料
6.5,70g乐事薯片黄瓜味,2017/5/9 12:03,B,非饮料,膨化食品
10.0,脉动（椰子菠萝口味）,2017/5/9 12:05,E,饮料,功能饮料
3.5,70g乖媳妇野山泡椒凤爪,2017/5/9 12:11,B,非饮料,肉干/豆制品/蛋
4.5,250ml燕塘原味酸奶,2017/5/9 12:13,E,饮料,乳制品
1.8,32g卫龙亲嘴烧川香味,2017/5/9 12:22,B,非饮料,肉干/豆制品/蛋
3.0,百事可乐500ml,2017/5/9 12:22,B,饮料,碳酸饮料
4.5,12g劲仔小鱼麻辣味,2017/5/9 12:25,B,非饮料,肉干/豆制品/蛋
5.0,营养快线,2017/5/9 13:24,B,饮料,乳制品
1.5,香豆干,2017/5/9 13:24,D,非饮料,肉干/豆制品/蛋
4.5,40g乐事薯片黄瓜味,2017/5/9 13:26,A,非饮料,膨化食品
0.8,20g咪咪虾条马来西亚风味,2017/5/9 13:27,A,非饮料,膨化食品
1.5,40g双汇玉米热狗肠,2017/5/9 13:30,C,非饮料,肉干/豆制品/蛋
10.0,口味王槟榔（绿）,2017/5/9 13:30,C,非饮料,蜜饯/果干
4.5,85g嘉士利果乐果香夹心饼干蓝莓味,2017/5/9 15:31,C,非饮料,饼干糕点
4.0,脉动,2017/5/9 15:32,C,饮料,功能饮料
2.0,康师傅矿泉水,2017/5/9 15:32,E,饮料,水
1.8,32g卫龙亲嘴烧,2017/5/9 15:33,B,非饮料,肉干/豆制品/蛋
5.0,48g好丽友薯愿香烤原味,2017/5/9 15:37,E,非饮料,膨化食品
4.0,500ml农夫果园 (芒果+菠萝+番石榴),2017/5/9 16:07,E,饮料,果蔬饮料
3.0,13g无穷烤鸡小腿蜂蜜味,2017/5/9 17:01,A,非饮料,肉干/豆制品/蛋
3.0,250ml维他柠檬茶,2017/5/9 17:34,E,饮料,茶饮料
4.5,40g乐事薯片黄瓜味,2017/5/9 17:42,A,非饮料,膨化食品
4.5,40g双汇玉米热狗肠,2017/5/9 17:50,E,非饮料,肉干/豆制品/蛋
9.0,50g马赛克手撕鱿鱼条,2017/5/9 17:56,A,非饮料,海味零食
4.0,营养快线,2017/5/9 17:56,A,饮料,乳制品
4.0,阿萨姆煎茶奶绿,2017/5/9 17:56,C,饮料,茶饮料
6.0,86g合味道海鲜风味,2017/5/9 18:01,B,非饮料,方便速食
2.0,85g新麦潮北海道吐司,2017/5/9 18:07,E,非饮料,饼干糕点
5.0,85g统一老坛酸菜牛肉面,2017/5/9 18:23,A,非饮料,方便速食
4.0,阿萨姆奶茶,2017/5/9 18:46,A,饮料,茶饮料
4.0,银鹭八宝粥,2017/5/9 18:46,E,饮料,方便速食
1.8,32g卫龙亲嘴烧,2017/5/9 18:47,A,非饮料,肉干/豆制品/蛋
2.5,30g无穷农场盐_鸡蛋,2017/5/9 18:55,B,非饮料,肉干/豆制品/蛋
4.5,500ml加多宝,2017/5/9 19:00,D,饮料,茶饮料
3.0,250ml维他原味豆奶,2017/5/9 19:37,D,饮料,植物蛋白
2.5,250ml维他奶巧克力味,2017/5/9 19:38,B,饮料,植物蛋白
4.0,美汁源果粒橙,2017/5/9 19:53,A,饮料,果蔬饮料
4.5,250ml燕塘原味酸奶,2017/5/9 20:57,D,饮料,乳制品
6.0,86g合味道海鲜风味,2017/5/9 22:10,E,非饮料,方便速食
3.5,85g新麦潮手撕面包（提子味）,2017/5/9 23:33,B,非饮料,饼干糕点
1.5,2g韩国海牌海苔,2017/5/10 00:10,B,非饮料,海味零食
4.0,营养快线,2017/5/10 00:26,C,饮料,乳制品
2.0,鸭翅,2017/5/10 00:26,E,非饮料,肉干/豆制品/蛋
1.5,45g双汇泡面拍挡,2017/5/10 00:41,B,非饮料,肉干/豆制品/蛋
2.0,5片装益达绿箭口香糖,2017/5/10 01:14,C,非饮料,糖果/巧克力
4.0,营养快线,2017/5/10 01:14,C,饮料,乳制品
3.0,13g无穷烤鸡小腿蜂蜜味,2017/5/10 01:58,A,非饮料,肉干/豆制品/蛋
4.5,250ML东鹏特饮,2017/5/10 02:10,D,饮料,功能饮料
5.5,70g乐事薯片（原味）,2017/5/10 02:11,E,非饮料,膨化食品
8.0,乐事薯片（黄瓜味）,2017/5/10 02:14,C,非饮料,膨化食品
2.5,145ml旺仔牛奶盒装,2017/5/10 03:08,D,饮料,乳制品
1.8,32g卫龙亲嘴烧,2017/5/10 04:34,B,非饮料,肉干/豆制品/蛋
2.5,250ml统一麦香奶茶,2017/5/10 04:35,B,饮料,茶饮料
6.0,13g无穷烤鸡小腿蜂蜜味,2017/5/10 07:50,D,非饮料,肉干/豆制品/蛋
5.0,85g统一老坛酸菜牛肉面,2017/5/10 07:51,B,非饮料,方便速食
3.0,40g双汇玉米热狗肠,2017/5/10 07:52,B,非饮料,肉干/豆制品/蛋
7.0,合味道（海鲜风味）,2017/5/10 08:13,D,非饮料,方便速食
4.5,78g卫龙亲嘴语辣条,2017/5/10 08:16,E,非饮料,肉干/豆制品/蛋
3.0,250ml维他柠檬茶,2017/5/10 08:56,C,饮料,茶饮料
1.8,32g卫龙亲嘴烧,2017/5/10 10:06,E,非饮料,肉干/豆制品/蛋
3.0,40g双汇玉米热狗肠,2017/5/10 10:08,C,非饮料,肉干/豆制品/蛋
4.0,脉动,2017/5/10 10:08,C,饮料,功能饮料
4.5,12g劲仔小鱼麻辣味,2017/5/10 10:09,B,非饮料,肉干/豆制品/蛋
2.5,30g无穷农场盐_鸡蛋,2017/5/10 10:10,E,非饮料,肉干/豆制品/蛋
2.0,40g双汇玉米热狗肠,2017/5/10 10:17,E,非饮料,肉干/豆制品/蛋
4.5,65g卫龙亲嘴豆皮,2017/5/10 11:01,A,非饮料,肉干/豆制品/蛋
6.5,100g果王咸柑桔罐装,2017/5/10 11:28,E,非饮料,蜜饯/果干
2.0,怡宝纯净水,2017/5/10 12:14,C,饮料,水
2.0,鸭翅,2017/5/10 12:14,E,非饮料,肉干/豆制品/蛋
3.0,统一绿茶,2017/5/10 12:15,C,饮料,茶饮料
1.5,小鱼仔,2017/5/10 12:15,E,非饮料,海味零食
2.0,怡宝纯净水,2017/5/10 12:16,B,饮料,水
2.0,怡宝纯净水,2017/5/10 12:16,E,饮料,水
3.5,600ml可口可乐,2017/5/10 12:19,D,饮料,碳酸饮料
2.5,30g无穷农场盐_鸡蛋,2017/5/10 12:20,E,非饮料,肉干/豆制品/蛋
4.5,65g卫龙亲嘴豆皮,2017/5/10 12:22,E,非饮料,肉干/豆制品/蛋
3.6,32g卫龙亲嘴烧,2017/5/10 12:48,E,非饮料,肉干/豆制品/蛋
1.5,40g双汇玉米热狗肠,2017/5/10 14:32,E,非饮料,肉干/豆制品/蛋
4.5,40g乐事美国经典原味,2017/5/10 15:32,A,非饮料,膨化食品
3.0,250ml维他原味豆奶,2017/5/10 15:33,C,饮料,植物蛋白
5.5,205g伊利安慕希原味,2017/5/10 15:37,B,饮料,乳制品
2.0,双汇玉米热狗肠,2017/5/10 15:38,D,非饮料,肉干/豆制品/蛋
4.5,500ml营养快线原味,2017/5/10 17:17,B,饮料,乳制品
4.5,78g卫龙亲嘴语辣条,2017/5/10 17:27,A,非饮料,肉干/豆制品/蛋
6.5,250ml红牛,2017/5/10 17:30,E,饮料,功能饮料
3.5,85g新麦潮手撕面包（提子味）,2017/5/10 17:34,D,非饮料,饼干糕点
4.5,40g呀土豆薯片滋香烤鸡味,2017/5/10 17:41,B,非饮料,膨化食品
3.0,250ml维他奶巧克力味,2017/5/10 17:55,A,饮料,植物蛋白
4.0,150g健能酸奶原味,2017/5/10 17:58,A,饮料,乳制品
1.8,32g卫龙亲嘴烧,2017/5/10 18:01,A,非饮料,肉干/豆制品/蛋
6.5,430g泰奇八宝粥,2017/5/10 18:05,A,非饮料,方便速食
2.5,250ml王老吉盒装,2017/5/10 18:28,E,饮料,茶饮料
3.5,85g新麦潮手撕面包（提子味）,2017/5/10 18:47,E,非饮料,饼干糕点
12.0,250ml维他椰子植物蛋白饮料,2017/5/10 18:48,C,饮料,植物蛋白
1.5,40g双汇玉米热狗肠,2017/5/10 18:51,C,非饮料,肉干/豆制品/蛋
4.5,85g嘉士利果乐果香夹心饼干蓝莓味,2017/5/10 19:31,B,非饮料,饼干糕点
1.5,40g双汇玉米热狗肠,2017/5/10 19:32,C,非饮料,肉干/豆制品/蛋
2.5,凤爪,2017/5/10 19:33,A,非饮料,肉干/豆制品/蛋
3.0,怡宝纯净水,2017/5/10 19:33,B,饮料,水
4.5,40g乐事美国经典原味,2017/5/10 19:36,C,非饮料,膨化食品
3.0,13g无穷烤鸡小腿蜂蜜味,2017/5/10 19:37,B,非饮料,肉干/豆制品/蛋
3.0,58g丽芝士纳宝帝奶酪威化饼干,2017/5/10 19:41,C,非饮料,饼干糕点
0.8,20g咪咪虾条马来西亚风味,2017/5/10 19:42,A,非饮料,膨化食品
1.5,40g双汇玉米热狗肠,2017/5/10 20:05,B,非饮料,肉干/豆制品/蛋
4.0,脉动,2017/5/10 20:38,D,饮料,功能饮料
4.0,脉动,2017/5/10 20:38,E,饮料,功能饮料
3.5,东鹏特饮,2017/5/10 20:39,A,饮料,功能饮料
3.0,雪碧（500ml）,2017/5/10 20:39,D,饮料,碳酸饮料
4.0,王老吉（500ml）,2017/5/10 20:45,B,饮料,茶饮料
15.0,口味王槟榔（红）,2017/5/10 20:45,D,非饮料,蜜饯/果干
6.0,330ml伊利畅意乳酸菌原味,2017/5/10 21:28,A,饮料,乳制品
4.5,80g香飘飘椰果奶茶原味,2017/5/10 22:16,D,饮料,茶饮料
6.0,160g盼盼手撕面包,2017/5/10 22:45,C,非饮料,饼干糕点
3.5,维他柠檬茶,2017/5/10 22:55,E,饮料,茶饮料
2.0,85g新麦潮北海道吐司,2017/5/10 23:13,E,非饮料,饼干糕点
3.5,伊利优酸乳,2017/5/10 23:13,E,饮料,乳制品
4.0,85g新麦潮北海道吐司,2017/5/10 23:14,D,非饮料,饼干糕点
4.0,脉动,2017/5/10 23:33,C,饮料,功能饮料
3.5,伊利优酸乳,2017/5/10 23:33,E,饮料,乳制品
6.0,86g合味道浓猪骨味,2017/5/11 01:22,D,非饮料,方便速食
2.5,30g无穷农场盐_鸡蛋,2017/5/11 02:58,A,非饮料,肉干/豆制品/蛋
7.0,130g果王玉带蚕豆,2017/5/11 03:02,B,非饮料,坚果炒货
2.5,145ml旺仔牛奶盒装,2017/5/11 04:34,A,饮料,乳制品
2.5,13g无穷烤鸡小腿蜂蜜味,2017/5/11 07:43,B,非饮料,肉干/豆制品/蛋
3.5,500ml统一冰糖雪梨,2017/5/11 07:44,B,饮料,果蔬饮料
6.0,330ml伊利畅意乳酸菌原味,2017/5/11 07:47,D,饮料,乳制品
5.0,85g统一老坛酸菜牛肉面,2017/5/11 07:49,E,非饮料,方便速食
1.8,32g卫龙亲嘴烧,2017/5/11 07:51,A,非饮料,肉干/豆制品/蛋
11.8,37.5g费列罗榛果威化巧克力3颗,2017/5/11 07:52,A,非饮料,糖果/巧克力
6.5,250ml红牛,2017/5/11 09:50,C,饮料,功能饮料
4.0,脉动,2017/5/11 09:50,C,饮料,功能饮料
3.0,百事可乐500ml,2017/5/11 09:54,B,饮料,碳酸饮料
4.0,脉动,2017/5/11 09:56,D,饮料,功能饮料
3.5,统一冰红茶,2017/5/11 09:56,E,饮料,茶饮料
3.0,250ml维他原味豆奶,2017/5/11 10:05,C,饮料,植物蛋白
2.0,85g新麦潮北海道吐司,2017/5/11 10:48,D,非饮料,饼干糕点
5.5,205g伊利安慕希原味,2017/5/11 10:49,B,饮料,乳制品
6.0,268ml雀巢咖啡丝滑拿铁,2017/5/11 11:14,C,饮料,咖啡
2.5,250ml统一麦香奶茶,2017/5/11 11:59,A,饮料,茶饮料
3.0,40g双汇玉米热狗肠,2017/5/11 12:06,D,非饮料,肉干/豆制品/蛋
1.6,20g咪咪虾条马来西亚风味,2017/5/11 12:07,E,非饮料,膨化食品
2.5,30g无穷农场盐_鸡蛋,2017/5/11 12:09,E,非饮料,肉干/豆制品/蛋
1.2,20g马来西亚风味咪咪蟹味粒0219,2017/5/11 12:10,C,非饮料,膨化食品
3.0,13g无穷烤鸡小腿蜂蜜味,2017/5/11 12:15,D,非饮料,肉干/豆制品/蛋
4.5,68g好丽友巧克力派2枚,2017/5/11 12:50,C,非饮料,饼干糕点
4.5,250ML东鹏特饮,2017/5/11 13:29,D,饮料,功能饮料
4.0,55g奥利奥原味芝士饼干,2017/5/11 14:20,A,非饮料,饼干糕点
4.0,500ml统一阿萨姆奶茶,2017/5/11 14:54,E,饮料,茶饮料
5.0,500ml农夫果园 (芒果+菠萝+番石榴),2017/5/11 15:18,A,饮料,果蔬饮料
4.5,250ml燕塘原味酸奶,2017/5/11 15:37,D,饮料,乳制品
8.0,80g四洲粟一烧烧烤味,2017/5/11 15:51,A,非饮料,膨化食品
3.2,20g马来西亚风味咪咪蟹味粒0219,2017/5/11 16:58,C,非饮料,膨化食品
4.5,52g旺旺仙贝,2017/5/11 17:00,D,非饮料,膨化食品
4.0,85g新麦潮北海道吐司,2017/5/11 17:05,A,非饮料,饼干糕点
4.5,78g卫龙亲嘴语辣条,2017/5/11 17:06,E,非饮料,肉干/豆制品/蛋
7.0,340ml蒙牛优益C乳酸菌,2017/5/11 17:07,B,饮料,乳制品
4.0,450ml美汁源果粒橙,2017/5/11 17:12,C,饮料,果蔬饮料
0.8,咪咪虾条马来西亚风味,2017/5/11 18:01,E,非饮料,膨化食品
4.0,85g新麦潮北海道吐司,2017/5/11 18:04,E,非饮料,饼干糕点
3.2,2g韩国海牌海苔,2017/5/11 19:29,A,非饮料,海味零食
4.0,250ml燕塘甜牛奶,2017/5/11 19:45,C,饮料,乳制品
2.0,鸭翅,2017/5/11 19:46,B,非饮料,肉干/豆制品/蛋
3.0,卫龙大面筋,2017/5/11 19:46,C,非饮料,肉干/豆制品/蛋
3.5,东鹏特饮,2017/5/11 19:46,D,饮料,功能饮料
3.0,怡宝纯净水,2017/5/11 19:49,B,饮料,水
3.5,统一冰红茶,2017/5/11 19:49,C,饮料,茶饮料
4.5,250ml燕塘原味酸奶,2017/5/11 20:05,E,饮料,乳制品
4.5,85g嘉士利果乐果香夹心饼干蓝莓味,2017/5/11 20:14,E,非饮料,饼干糕点
5.0,145ml旺仔牛奶盒装,2017/5/11 20:37,B,饮料,乳制品
4.5,40g乐事美国经典原味,2017/5/11 20:46,D,非饮料,膨化食品
4.0,55g奥利奥原味芝士饼干,2017/5/11 20:47,B,非饮料,饼干糕点
3.0,冰糖雪梨,2017/5/11 21:06,C,饮料,果蔬饮料
3.0,可口可乐最新款,2017/5/11 21:06,D,饮料,碳酸饮料
4.5,40g乐事美国经典原味,2017/5/11 21:07,D,非饮料,膨化食品
4.0,20g咪咪虾条马来西亚风味,2017/5/11 21:15,A,非饮料,膨化食品
4.5,85g嘉士利果乐果香夹心饼干蓝莓味,2017/5/11 21:32,A,非饮料,饼干糕点
3.0,250ml维他柠檬茶,2017/5/11 21:50,C,饮料,茶饮料
3.5,可口可乐330ml,2017/5/11 22:02,B,饮料,碳酸饮料
3.5,统一冰红茶,2017/5/11 22:02,C,饮料,茶饮料
1.5,40g双汇玉米热狗肠,2017/5/11 22:05,A,非饮料,肉干/豆制品/蛋
5.5,205g伊利安慕希原味,2017/5/11 22:10,E,饮料,乳制品
3.5,芬达330ml,2017/5/11 22:10,E,饮料,碳酸饮料
4.0,银鹭八宝粥,2017/5/11 22:11,C,饮料,方便速食
3.0,统一冰红茶,2017/5/11 22:11,D,饮料,茶饮料
6.5,148g富甲一方紫薯仔,2017/5/11 22:12,B,非饮料,蜜饯/果干
3.2,2g韩国海牌海苔,2017/5/11 22:36,E,非饮料,海味零食
6.0,86g合味道海鲜风味,2017/5/11 23:12,C,非饮料,方便速食
6.0,145ml旺仔牛奶盒装,2017/5/11 23:34,E,饮料,乳制品
4.5,40g双汇玉米热狗肠,2017/5/11 23:38,B,非饮料,肉干/豆制品/蛋
3.5,600ml可口可乐,2017/5/11 23:43,C,饮料,碳酸饮料
3.0,伊利纯牛奶,2017/5/11 23:44,B,饮料,乳制品
3.5,可口可乐330ml,2017/5/11 23:44,E,饮料,碳酸饮料
1.8,32g卫龙亲嘴烧,2017/5/11 23:59,B,非饮料,肉干/豆制品/蛋
8.0,68g多力多玉米片爆香热辣味,2017/5/12 00:00,E,非饮料,膨化食品
4.0,奥利奥原味芝士,2017/5/12 00:06,D,非饮料,饼干糕点
4.0,55g奥利奥原味芝士饼干,2017/5/12 00:23,E,非饮料,饼干糕点
5.0,85g统一老坛酸菜牛肉面,2017/5/12 00:35,D,非饮料,方便速食
3.0,可口可乐（500ml）,2017/5/12 00:36,D,饮料,碳酸饮料
3.5,东鹏特饮,2017/5/12 00:36,E,饮料,功能饮料
4.0,500ml统一阿萨姆奶茶,2017/5/12 00:37,B,饮料,茶饮料
4.0,王老吉（罐）,2017/5/12 00:37,B,饮料,茶饮料
3.5,250ml燕塘甜牛奶,2017/5/12 01:50,B,饮料,乳制品
4.5,50g双层百力滋奶咖味,2017/5/12 04:22,E,非饮料,饼干糕点
3.5,85g新麦潮手撕面包（提子味）,2017/5/12 07:50,D,非饮料,饼干糕点
4.5,52g旺旺仙贝,2017/5/12 08:18,B,非饮料,膨化食品
2.0,85g新麦潮手撕面包（提子味）,2017/5/12 08:19,D,非饮料,饼干糕点
6.5,250ml红牛,2017/5/12 08:40,B,饮料,功能饮料
15.0,口味王槟榔（红）,2017/5/12 08:41,D,非饮料,蜜饯/果干
2.5,伊利优酸乳,2017/5/12 08:41,E,饮料,乳制品
4.0,500ml统一阿萨姆奶茶,2017/5/12 08:42,E,饮料,茶饮料
3.5,可口可乐330ml,2017/5/12 08:42,E,饮料,碳酸饮料
2.5,145ml旺仔牛奶盒装,2017/5/12 08:47,B,饮料,乳制品
1.6,20g马来西亚风味咪咪蟹味粒0219,2017/5/12 10:03,E,非饮料,膨化食品
3.0,伊利纯牛奶,2017/5/12 10:05,C,饮料,乳制品
3.5,可口可乐330ml,2017/5/12 10:05,E,饮料,碳酸饮料
2.5,伊利优酸乳,2017/5/12 10:07,C,饮料,乳制品
3.5,东鹏特饮,2017/5/12 10:07,D,饮料,功能饮料
6.5,250ml红牛,2017/5/12 10:08,A,饮料,功能饮料
4.5,250ml燕塘原味酸奶,2017/5/12 10:09,A,饮料,乳制品
8.0,160g盼盼手撕面包,2017/5/12 10:21,C,非饮料,饼干糕点
3.5,85g新麦潮手撕面包（提子味）,2017/5/12 10:22,A,非饮料,饼干糕点
3.0,58g丽芝士纳宝帝奶酪威化饼干,2017/5/12 10:38,A,非饮料,饼干糕点
6.0,86g合味道海鲜风味,2017/5/12 10:43,C,非饮料,方便速食
6.0,86g合味道浓猪骨味,2017/5/12 10:56,B,非饮料,方便速食
4.5,250ml燕塘红枣牛奶,2017/5/12 11:45,A,饮料,乳制品
6.5,250ml红牛,2017/5/12 12:03,C,饮料,功能饮料
3.6,32g卫龙亲嘴烧,2017/5/12 12:09,D,非饮料,肉干/豆制品/蛋
5.0,500ml统一阿萨姆奶茶,2017/5/12 12:10,D,饮料,茶饮料
3.5,王老吉（罐）,2017/5/12 12:10,D,饮料,茶饮料
1.5,12g劲仔小鱼麻辣味,2017/5/12 12:36,B,非饮料,肉干/豆制品/蛋
3.6,32g卫龙亲嘴烧,2017/5/12 13:04,C,非饮料,肉干/豆制品/蛋
4.5,250ml燕塘甜牛奶,2017/5/12 13:05,A,饮料,乳制品
2.0,85g新麦潮北海道吐司,2017/5/12 13:24,A,非饮料,饼干糕点
